Admin_Unit_Code,Sub_Unit_Code,Plot_Name,Location_Type,Year,Date,Start_Time,End_Time,Observer,Visit,Interval_Length,ID_Method,Distance,Flyover_Observed,Sex,Common_Name,Scientific_Name,AcceptedTSN,TaxonCode,AOU_Code,PIF_Watchlist_Status,Regional_Stewardship_Status,Temperature,Humidity,Sky,Wind,Disturbance,Previously_Obs,Initial_Three_Min_Cnt
ANTI,NA,ANTI-0028,Grassland,2018,22-05-2018,00-01-1900,00-01-1900,Elizabeth Oswald,1,0-2.5 min,Singing,<= 50 Meters,FALSE,Male,Indigo Bunting,Passerina cyanea,179150,94257,INBU,FALSE,TRUE,19.79999924,80.30000305,Cloudy/Overcast,Light air movement (1-3 mph) smoke drifts,Slight effect on count,FALSE,TRUE
ANTI,NA,ANTI-0028,Grassland,2018,22-05-2018,00-01-1900,00-01-1900,Elizabeth Oswald,1,7.5 - 10 min,Singing,50 - 100 Meters,FALSE,Undetermined,Northern Cardinal,Cardinalis cardinalis,179124,94228,NOCA,FALSE,FALSE,19.79999924,80.30000305,Cloudy/Overcast,Light air movement (1-3 mph) smoke drifts,Slight effect on count,FALSE,FALSE
ANTI,NA,ANTI-0028,Grassland,2018,22-05-2018,00-01-1900,00-01-1900,Elizabeth Oswald,1,0-2.5 min,Singing,50 - 100 Meters,FALSE,Undetermined,Carolina Wren,Thryothorus ludovicianus,178581,88350,CARW,FALSE,FALSE,19.79999924,80.30000305,Cloudy/Overcast,Light air movement (1-3 mph) smoke drifts,Slight effect on count,FALSE,TRUE
ANTI,NA,ANTI-0028,Grassland,2018,22-05-2018,00-01-1900,00-01-1900,Elizabeth Oswald,1,0-2.5 min,Singing,<= 50 Meters,FALSE,Undetermined,Carolina Wren,Thryothorus ludovicianus,178581,88350,CARW,FALSE,FALSE,19.79999924,80.30000305,Cloudy/Overcast,Light air movement (1-3 mph) smoke drifts,Slight effect on count,FALSE,TRUE
ANTI,NA,ANTI-0028,Grassland,2018,22-05-2018,00-01-1900,00-01-1900,Elizabeth Oswald,1,0-2.5 min,Singing,<= 50 Meters,FALSE,Male,Blackpoll Warbler,Setophaga striata,950041,773819,BLPW,FALSE,FALSE,19.79999924,80.30000305,Cloudy/Overcast,Light air movement (1-3 mph) smoke drifts,Slight effect on count,FALSE,TRUE
ANTI,NA,ANTI-0028,Grassland,2018,22-05-2018,00-01-1900,00-01-1900,Elizabeth Oswald,1,0-2.5 min,Singing,<= 50 Meters,FALSE,Male,Brown-headed Cowbird,Molothrus ater,179112,94215,BHCO,FALSE,FALSE,19.79999924,80.30000305,Cloudy/Overcast,Light air movement (1-3 mph) smoke drifts,Slight effect on count,FALSE,TRUE
ANTI,NA,ANTI-0028,Grassland,2018,22-05-2018,00-01-1900,00-01-1900,Elizabeth Oswald,1,0-2.5 min,Singing,50 - 100 Meters,FALSE,Undetermined,Mourning Dove,Zenaida macroura,177125,82737,MODO,FALSE,FALSE,19.79999924,80.30000305,Cloudy/Overcast,Light air movement (1-3 mph) smoke drifts,Slight effect on count,FALSE,TRUE
ANTI,NA,ANTI-0028,Grassland,2018,22-05-2018,00-01-1900,00-01-1900,Elizabeth Oswald,1,2.5 - 5 min,Visualization,50 - 100 Meters,FALSE,Undetermined,Brown-headed Cowbird,Molothrus ater,179112,94215,BHCO,FALSE,FALSE,19.79999924,80.30000305,Cloudy/Overcast,Light air movement (1-3 mph) smoke drifts,Slight effect on count,FALSE,FALSE
ANTI,NA,ANTI-0028,Grassland,2018,22-05-2018,00-01-1900,00-01-1900,Elizabeth Oswald,1,7.5 - 10 min,Singing,<= 50 Meters,FALSE,Undetermined,Baltimore Oriole,Icterus galbula,179083,93655,BAOR,FALSE,FALSE,19.79999924,80.30000305,Cloudy/Overcast,Light air movement (1-3 mph) smoke drifts,Slight effect on count,FALSE,FALSE
ANTI,NA,ANTI-0028,Grassland,2018,22-05-2018,00-01-1900,00-01-1900,Elizabeth Oswald,1,5 - 7.5 min,Visualization,,TRUE,Undetermined,Fish Crow,Corvus ossifragus,179737,87112,FICR,FALSE,FALSE,19.79999924,80.30000305,Cloudy/Overcast,Light air movement (1-3 mph) smoke drifts,Slight effect on count,FALSE,FALSE
ANTI,NA,ANTI-0028,Grassland,2018,22-05-2018,00-01-1900,00-01-1900,Elizabeth Oswald,1,5 - 7.5 min,Calling,50 - 100 Meters,FALSE,Undetermined,Great Crested Flycatcher,Myiarchus crinitus,178309,85791,GCFL,FALSE,FALSE,19.79999924,80.30000305,Cloudy/Overcast,Light air movement (1-3 mph) smoke drifts,Slight effect on count,FALSE,FALSE
ANTI,NA,ANTI-0028,Grassland,2018,22-05-2018,00-01-1900,00-01-1900,Elizabeth Oswald,1,2.5 - 5 min,Calling,<= 50 Meters,FALSE,Undetermined,American Robin,Turdus migratorius,179759,87136,AMRO,FALSE,FALSE,19.79999924,80.30000305,Cloudy/Overcast,Light air movement (1-3 mph) smoke drifts,Slight effect on count,FALSE,FALSE
ANTI,NA,ANTI-0028,Grassland,2018,22-05-2018,00-01-1900,00-01-1900,Elizabeth Oswald,1,0-2.5 min,Singing,50 - 100 Meters,FALSE,Undetermined,Mourning Dove,Zenaida macroura,177125,82737,MODO,FALSE,FALSE,19.79999924,80.30000305,Cloudy/Overcast,Light air movement (1-3 mph) smoke drifts,Slight effect on count,FALSE,TRUE
ANTI,NA,ANTI-0028,Grassland,2018,22-05-2018,00-01-1900,00-01-1900,Elizabeth Oswald,1,2.5 - 5 min,Visualization,,TRUE,Undetermined,Turkey Vulture,Cathartes aura,175265,79468,TUVU,FALSE,FALSE,19.79999924,80.30000305,Cloudy/Overcast,Light air movement (1-3 mph) smoke drifts,Slight effect on count,FALSE,FALSE
ANTI,NA,ANTI-0028,Grassland,2018,22-05-2018,00-01-1900,00-01-1900,Elizabeth Oswald,1,0-2.5 min,Singing,50 - 100 Meters,FALSE,Undetermined,Northern Cardinal,Cardinalis cardinalis,179124,94228,NOCA,FALSE,FALSE,19.79999924,80.30000305,Cloudy/Overcast,Light air movement (1-3 mph) smoke drifts,Slight effect on count,FALSE,TRUE
ANTI,NA,ANTI-0028,Grassland,2018,22-05-2018,00-01-1900,00-01-1900,Elizabeth Oswald,1,2.5 - 5 min,Singing,<= 50 Meters,FALSE,Undetermined,Eastern Kingbird,Tyrannus tyrannus,178279,85757,EAKI,FALSE,FALSE,19.79999924,80.30000305,Cloudy/Overcast,Light air movement (1-3 mph) smoke drifts,Slight effect on count,FALSE,FALSE
ANTI,NA,ANTI-0028,Grassland,2018,22-05-2018,00-01-1900,00-01-1900,Elizabeth Oswald,1,2.5 - 5 min,Calling,50 - 100 Meters,FALSE,Undetermined,Red-bellied Woodpecker,Melanerpes carolinus,178195,84865,RBWO,FALSE,FALSE,19.79999924,80.30000305,Cloudy/Overcast,Light air movement (1-3 mph) smoke drifts,Slight effect on count,FALSE,FALSE
ANTI,NA,ANTI-0028,Grassland,2018,22-05-2018,00-01-1900,00-01-1900,Elizabeth Oswald,1,2.5 - 5 min,Singing,50 - 100 Meters,FALSE,Male,Field Sparrow,Spizella pusilla,179443,84790,FISP,FALSE,TRUE,19.79999924,80.30000305,Cloudy/Overcast,Light air movement (1-3 mph) smoke drifts,Slight effect on count,FALSE,TRUE
ANTI,NA,ANTI-0028,Grassland,2018,22-05-2018,00-01-1900,00-01-1900,Elizabeth Oswald,1,0-2.5 min,Singing,50 - 100 Meters,FALSE,Male,Eastern Towhee,Pipilo erythrophthalmus,179276,83803,EATO,FALSE,TRUE,19.79999924,80.30000305,Cloudy/Overcast,Light air movement (1-3 mph) smoke drifts,Slight effect on count,FALSE,TRUE
ANTI,NA,ANTI-0028,Grassland,2018,22-05-2018,00-01-1900,00-01-1900,Elizabeth Oswald,1,0-2.5 min,Visualization,<= 50 Meters,FALSE,Undetermined,Chipping Sparrow,Spizella passerina,179435,84781,CHSP,FALSE,FALSE,19.79999924,80.30000305,Cloudy/Overcast,Light air movement (1-3 mph) smoke drifts,Slight effect on count,FALSE,TRUE
ANTI,NA,ANTI-0028,Grassland,2018,22-05-2018,00-01-1900,00-01-1900,Elizabeth Oswald,1,2.5 - 5 min,Singing,50 - 100 Meters,FALSE,Undetermined,Eastern Tufted Titmouse,Baeolophus bicolor,554138,266957,ETTI,FALSE,FALSE,19.79999924,80.30000305,Cloudy/Overcast,Light air movement (1-3 mph) smoke drifts,Slight effect on count,FALSE,FALSE
ANTI,NA,ANTI-0027,Grassland,2018,22-05-2018,00-01-1900,00-01-1900,Elizabeth Oswald,1,0-2.5 min,Singing,50 - 100 Meters,FALSE,Male,Field Sparrow,Spizella pusilla,179443,84790,FISP,FALSE,TRUE,20.20000076,79.5,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,No effect on count,FALSE,TRUE
ANTI,NA,ANTI-0027,Grassland,2018,22-05-2018,00-01-1900,00-01-1900,Elizabeth Oswald,1,5 - 7.5 min,Visualization,<= 50 Meters,FALSE,Undetermined,Mourning Dove,Zenaida macroura,177125,82737,MODO,FALSE,FALSE,20.20000076,79.5,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,No effect on count,FALSE,FALSE
ANTI,NA,ANTI-0027,Grassland,2018,22-05-2018,00-01-1900,00-01-1900,Elizabeth Oswald,1,5 - 7.5 min,Visualization,<= 50 Meters,FALSE,Undetermined,Brown-headed Cowbird,Molothrus ater,179112,94215,BHCO,FALSE,FALSE,20.20000076,79.5,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,No effect on count,FALSE,FALSE
ANTI,NA,ANTI-0027,Grassland,2018,22-05-2018,00-01-1900,00-01-1900,Elizabeth Oswald,1,7.5 - 10 min,Singing,<= 50 Meters,FALSE,Male,Grasshopper Sparrow,Ammodramus savannarum,179333,83867,GRSP,FALSE,FALSE,20.20000076,79.5,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,No effect on count,FALSE,FALSE
ANTI,NA,ANTI-0027,Grassland,2018,22-05-2018,00-01-1900,00-01-1900,Elizabeth Oswald,1,2.5 - 5 min,Visualization,,TRUE,Undetermined,Canada Goose,Branta canadensis,174999,76625,CANG,FALSE,FALSE,20.20000076,79.5,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,No effect on count,FALSE,FALSE
ANTI,NA,ANTI-0027,Grassland,2018,22-05-2018,00-01-1900,00-01-1900,Elizabeth Oswald,1,2.5 - 5 min,Visualization,,TRUE,Undetermined,Canada Goose,Branta canadensis,174999,76625,CANG,FALSE,FALSE,20.20000076,79.5,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,No effect on count,FALSE,FALSE
ANTI,NA,ANTI-0027,Grassland,2018,22-05-2018,00-01-1900,00-01-1900,Elizabeth Oswald,1,5 - 7.5 min,Singing,50 - 100 Meters,FALSE,Male,Chipping Sparrow,Spizella passerina,179435,84781,CHSP,FALSE,FALSE,20.20000076,79.5,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,No effect on count,FALSE,FALSE
ANTI,NA,ANTI-0027,Grassland,2018,22-05-2018,00-01-1900,00-01-1900,Elizabeth Oswald,1,0-2.5 min,Singing,50 - 100 Meters,FALSE,Undetermined,Northern Cardinal,Cardinalis cardinalis,179124,94228,NOCA,FALSE,FALSE,20.20000076,79.5,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,No effect on count,FALSE,TRUE
ANTI,NA,ANTI-0027,Grassland,2018,22-05-2018,00-01-1900,00-01-1900,Elizabeth Oswald,1,0-2.5 min,Singing,50 - 100 Meters,FALSE,Male,Indigo Bunting,Passerina cyanea,179150,94257,INBU,FALSE,TRUE,20.20000076,79.5,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,No effect on count,FALSE,TRUE
ANTI,NA,ANTI-0027,Grassland,2018,22-05-2018,00-01-1900,00-01-1900,Elizabeth Oswald,1,0-2.5 min,Singing,<= 50 Meters,FALSE,Undetermined,Mourning Dove,Zenaida macroura,177125,82737,MODO,FALSE,FALSE,20.20000076,79.5,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,No effect on count,FALSE,TRUE
ANTI,NA,ANTI-0027,Grassland,2018,22-05-2018,00-01-1900,00-01-1900,Elizabeth Oswald,1,7.5 - 10 min,Calling,<= 50 Meters,FALSE,Undetermined,Blue Jay,Cyanocitta cristata,179680,86252,BLJA,FALSE,FALSE,20.20000076,79.5,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,No effect on count,FALSE,FALSE
ANTI,NA,ANTI-0027,Grassland,2018,22-05-2018,00-01-1900,00-01-1900,Elizabeth Oswald,1,0-2.5 min,Singing,<= 50 Meters,FALSE,Undetermined,Northern Cardinal,Cardinalis cardinalis,179124,94228,NOCA,FALSE,FALSE,20.20000076,79.5,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,No effect on count,FALSE,TRUE
ANTI,NA,ANTI-0027,Grassland,2018,22-05-2018,00-01-1900,00-01-1900,Elizabeth Oswald,1,0-2.5 min,Singing,<= 50 Meters,FALSE,Male,Brown-headed Cowbird,Molothrus ater,179112,94215,BHCO,FALSE,FALSE,20.20000076,79.5,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,No effect on count,FALSE,TRUE
ANTI,NA,ANTI-0027,Grassland,2018,22-05-2018,00-01-1900,00-01-1900,Elizabeth Oswald,1,0-2.5 min,Singing,50 - 100 Meters,FALSE,Male,Field Sparrow,Spizella pusilla,179443,84790,FISP,FALSE,TRUE,20.20000076,79.5,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,No effect on count,FALSE,TRUE
ANTI,NA,ANTI-0027,Grassland,2018,22-05-2018,00-01-1900,00-01-1900,Elizabeth Oswald,1,0-2.5 min,Calling,50 - 100 Meters,FALSE,Undetermined,Carolina Chickadee,Poecile carolinensis,554383,265876,CACH,FALSE,TRUE,20.20000076,79.5,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,No effect on count,FALSE,TRUE
ANTI,NA,ANTI-0027,Grassland,2018,22-05-2018,00-01-1900,00-01-1900,Elizabeth Oswald,1,2.5 - 5 min,Singing,50 - 100 Meters,FALSE,Undetermined,Carolina Wren,Thryothorus ludovicianus,178581,88350,CARW,FALSE,FALSE,20.20000076,79.5,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,No effect on count,FALSE,FALSE
ANTI,NA,ANTI-0027,Grassland,2018,22-05-2018,00-01-1900,00-01-1900,Elizabeth Oswald,1,0-2.5 min,Calling,50 - 100 Meters,FALSE,Undetermined,Eastern Towhee,Pipilo erythrophthalmus,179276,83803,EATO,FALSE,TRUE,20.20000076,79.5,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,No effect on count,FALSE,TRUE
ANTI,NA,ANTI-0027,Grassland,2018,22-05-2018,00-01-1900,00-01-1900,Elizabeth Oswald,1,0-2.5 min,Calling,50 - 100 Meters,FALSE,Undetermined,Eastern Towhee,Pipilo erythrophthalmus,179276,83803,EATO,FALSE,TRUE,20.20000076,79.5,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,No effect on count,FALSE,TRUE
ANTI,NA,ANTI-0018,Grassland,2018,22-05-2018,00-01-1900,00-01-1900,Elizabeth Oswald,1,7.5 - 10 min,Singing,<= 50 Meters,FALSE,Undetermined,Baltimore Oriole,Icterus galbula,179083,93655,BAOR,FALSE,FALSE,20.20000076,84.40000153,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,Slight effect on count,FALSE,FALSE
ANTI,NA,ANTI-0018,Grassland,2018,22-05-2018,00-01-1900,00-01-1900,Elizabeth Oswald,1,0-2.5 min,Singing,<= 50 Meters,FALSE,Undetermined,Northern Cardinal,Cardinalis cardinalis,179124,94228,NOCA,FALSE,FALSE,20.20000076,84.40000153,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,Slight effect on count,FALSE,TRUE
ANTI,NA,ANTI-0018,Grassland,2018,22-05-2018,00-01-1900,00-01-1900,Elizabeth Oswald,1,0-2.5 min,Singing,50 - 100 Meters,FALSE,Undetermined,Northern Cardinal,Cardinalis cardinalis,179124,94228,NOCA,FALSE,FALSE,20.20000076,84.40000153,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,Slight effect on count,FALSE,TRUE
ANTI,NA,ANTI-0018,Grassland,2018,22-05-2018,00-01-1900,00-01-1900,Elizabeth Oswald,1,7.5 - 10 min,Calling,<= 50 Meters,FALSE,Undetermined,Gray Catbird,Dumetella carolinensis,178625,89977,GRCA,FALSE,FALSE,20.20000076,84.40000153,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,Slight effect on count,FALSE,FALSE
ANTI,NA,ANTI-0018,Grassland,2018,22-05-2018,00-01-1900,00-01-1900,Elizabeth Oswald,1,0-2.5 min,Calling,<= 50 Meters,FALSE,Undetermined,Eastern Towhee,Pipilo erythrophthalmus,179276,83803,EATO,FALSE,TRUE,20.20000076,84.40000153,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,Slight effect on count,FALSE,TRUE
ANTI,NA,ANTI-0018,Grassland,2018,22-05-2018,00-01-1900,00-01-1900,Elizabeth Oswald,1,0-2.5 min,Singing,50 - 100 Meters,FALSE,Male,Wood Thrush,Hylocichla mustelina,179777,87156,WOTH,TRUE,TRUE,20.20000076,84.40000153,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,Slight effect on count,FALSE,TRUE
ANTI,NA,ANTI-0018,Grassland,2018,22-05-2018,00-01-1900,00-01-1900,Elizabeth Oswald,1,0-2.5 min,Singing,50 - 100 Meters,FALSE,Undetermined,Northern Cardinal,Cardinalis cardinalis,179124,94228,NOCA,FALSE,FALSE,20.20000076,84.40000153,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,Slight effect on count,FALSE,TRUE
ANTI,NA,ANTI-0018,Grassland,2018,22-05-2018,00-01-1900,00-01-1900,Elizabeth Oswald,1,2.5 - 5 min,Calling,50 - 100 Meters,FALSE,Undetermined,Great Crested Flycatcher,Myiarchus crinitus,178309,85791,GCFL,FALSE,FALSE,20.20000076,84.40000153,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,Slight effect on count,FALSE,FALSE
ANTI,NA,ANTI-0018,Grassland,2018,22-05-2018,00-01-1900,00-01-1900,Elizabeth Oswald,1,5 - 7.5 min,Visualization,,TRUE,Undetermined,Unidentified Crow,Corvus,179724,87098,UNCR,FALSE,FALSE,20.20000076,84.40000153,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,Slight effect on count,FALSE,FALSE
ANTI,NA,ANTI-0018,Grassland,2018,22-05-2018,00-01-1900,00-01-1900,Elizabeth Oswald,1,2.5 - 5 min,Singing,50 - 100 Meters,FALSE,Undetermined,Horned Lark,Eremophila alpestris,554256,264079,HOLA,FALSE,FALSE,20.20000076,84.40000153,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,Slight effect on count,FALSE,FALSE
ANTI,NA,ANTI-0018,Grassland,2018,22-05-2018,00-01-1900,00-01-1900,Elizabeth Oswald,1,2.5 - 5 min,Singing,<= 50 Meters,FALSE,Male,Brown-headed Cowbird,Molothrus ater,179112,94215,BHCO,FALSE,FALSE,20.20000076,84.40000153,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,Slight effect on count,FALSE,FALSE
ANTI,NA,ANTI-0018,Grassland,2018,22-05-2018,00-01-1900,00-01-1900,Elizabeth Oswald,1,5 - 7.5 min,Singing,50 - 100 Meters,FALSE,Male,Indigo Bunting,Passerina cyanea,179150,94257,INBU,FALSE,TRUE,20.20000076,84.40000153,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,Slight effect on count,FALSE,FALSE
ANTI,NA,ANTI-0018,Grassland,2018,22-05-2018,00-01-1900,00-01-1900,Elizabeth Oswald,1,5 - 7.5 min,Calling,<= 50 Meters,FALSE,Undetermined,American Robin,Turdus migratorius,179759,87136,AMRO,FALSE,FALSE,20.20000076,84.40000153,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,Slight effect on count,FALSE,FALSE
ANTI,NA,ANTI-0018,Grassland,2018,22-05-2018,00-01-1900,00-01-1900,Elizabeth Oswald,1,0-2.5 min,Singing,<= 50 Meters,FALSE,Male,Eastern Wood-Pewee,Contopus virens,178359,85846,EAWP,FALSE,TRUE,20.20000076,84.40000153,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,Slight effect on count,FALSE,TRUE
ANTI,NA,ANTI-0105,Grassland,2018,22-05-2018,00-01-1900,00-01-1900,Kimberly Serno,1,5 - 7.5 min,Singing,<= 50 Meters,FALSE,Male,Orchard Oriole,Icterus spurius,179064,93634,OROR,FALSE,FALSE,21.20000076,72.30000305,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,No effect on count,FALSE,FALSE
ANTI,NA,ANTI-0105,Grassland,2018,22-05-2018,00-01-1900,00-01-1900,Kimberly Serno,1,2.5 - 5 min,Singing,50 - 100 Meters,FALSE,Male,Indigo Bunting,Passerina cyanea,179150,94257,INBU,FALSE,TRUE,21.20000076,72.30000305,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,No effect on count,FALSE,FALSE
ANTI,NA,ANTI-0105,Grassland,2018,22-05-2018,00-01-1900,00-01-1900,Kimberly Serno,1,5 - 7.5 min,Visualization,,TRUE,Undetermined,Cedar Waxwing,Bombycilla cedrorum,178532,88296,CEDW,FALSE,FALSE,21.20000076,72.30000305,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,No effect on count,FALSE,FALSE
ANTI,NA,ANTI-0105,Grassland,2018,22-05-2018,00-01-1900,00-01-1900,Kimberly Serno,1,7.5 - 10 min,Calling,50 - 100 Meters,FALSE,Undetermined,Carolina Chickadee,Poecile carolinensis,554383,265876,CACH,FALSE,TRUE,21.20000076,72.30000305,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,No effect on count,FALSE,FALSE
ANTI,NA,ANTI-0105,Grassland,2018,22-05-2018,00-01-1900,00-01-1900,Kimberly Serno,1,5 - 7.5 min,Visualization,,TRUE,Undetermined,Cedar Waxwing,Bombycilla cedrorum,178532,88296,CEDW,FALSE,FALSE,21.20000076,72.30000305,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,No effect on count,FALSE,FALSE
